地域コード(文字列型),地域コード(数値型),地方,都道府県,地域,緯度,経度,mysub_code,mysub_name
575,575,四国,愛媛,愛媛中予,33.839,132.765,621.0,愛媛県中予
576,576,四国,愛媛,愛媛南予,33.362,132.51,622.0,愛媛県南予
580,580,四国,高知,高知東部,33.424,134.02,630.0,高知県東部
581,581,四国,高知,高知中部,33.559,133.529,631.0,高知県中部
582,582,四国,高知,高知西部,32.991,132.933,632.0,高知県西部
600,600,九州北,福岡,福岡福岡,33.59,130.401,710.0,福岡県福岡
601,601,九州北,福岡,福岡北九州,33.883,130.875,711.0,福岡県北九州
602,602,九州北,福岡,福岡筑豊,33.646,130.691,712.0,福岡県筑豊
605,605,九州北,福岡,福岡筑後,33.319,130.508,713.0,福岡県筑後
610,610,九州北,佐賀,佐賀北部,33.45,129.968,720.0,佐賀県北部
615,615,九州北,佐賀,佐賀南部,33.181,130.143,721.0,佐賀県南部
620,620,九州北,長崎,長崎北部,33.179,129.715,730.0,長崎県北部
625,625,九州北,長崎,長崎南部,32.843,130.053,731.0,長崎県南西部
630,630,九州北,長崎,長崎壱岐・対馬,34.202,129.287,735.0,長崎県対馬
635,635,九州北,長崎,長崎五島,32.695,128.84,737.0,長崎県五島
640,640,九州北,熊本,熊本阿蘇,32.951,131.12,740.0,熊本県阿蘇
641,641,九州北,熊本,熊本熊本,32.803,130.707,741.0,熊本県熊本
645,645,九州北,熊本,熊本球磨,32.24,130.897,742.0,熊本県球磨
646,646,九州北,熊本,熊本天草・芦北,32.233,130.439,743.0,熊本県天草・芦北
650,650,九州北,大分,大分北部,33.531,131.349,750.0,大分県北部
651,651,九州北,大分,大分中部,33.239,131.609,751.0,大分県中部
655,655,九州北,大分,大分西部,33.228,131.188,753.0,大分県西部
656,656,九州北,大分,大分南部,32.959,131.9,752.0,大分県南部
660,660,九州南,宮崎,宮崎北部平野部,32.422,131.624,760.0,宮崎県北部平野部
661,661,九州南,宮崎,宮崎北部山沿い,32.467,131.158,761.0,宮崎県北部山沿い
665,665,九州南,宮崎,宮崎南部平野部,31.601,131.378,762.0,宮崎県南部平野部
666,666,九州南,宮崎,宮崎南部山沿い,31.928,131.007,763.0,宮崎県南部山沿い
670,670,九州南,鹿児島,鹿児島薩摩,31.813,130.304,770.0,鹿児島県薩摩
675,675,九州南,鹿児島,鹿児島大隅,31.378,130.852,771.0,鹿児島県大隅
680,680,九州南,鹿児島,種子島・屋久島,30.732,130.996,776.0,鹿児島県種子島
685,685,九州南,鹿児島,鹿児島奄美,28.377,129.493,778.0,鹿児島県奄美北部
700,700,沖縄,沖縄,沖縄本島北部,26.591,127.977,800.0,沖縄県本島北部
701,701,沖縄,沖縄,沖縄本島中南部,26.281,127.778,801.0,沖縄県本島中南部
702,702,沖縄,沖縄,沖縄久米島,26.349,126.747,802.0,沖縄県久米島
705,705,沖縄,沖縄,沖縄八重山,24.286,123.881,807.0,沖縄県西表島
706,706,沖縄,沖縄,沖縄宮古島,24.805,125.281,804.0,沖縄県宮古島
710,710,沖縄,沖縄,沖縄大東島,25.828,131.232,803.0,沖縄県大東島
950,950,EEW,,緊急地震速報 配信試験(β),,,,
951,951,EEW,,緊急地震速報 配信試験(β) テスト配信,,,,
952,952,EEW,,緊急地震速報（警報）,,,,
953,953,EEW,,緊急地震速報（警報） テスト配信,,,,
954,954,EEW,,緊急地震速報（警報） 取消,,,,
